iter	AUC	Logloss
0	0.688574791	0.6884448826
1	0.7021268606	0.6840764242
2	0.7079005241	0.679589283
3	0.7101474702	0.67527012
4	0.7108616233	0.6713220507
5	0.7116207182	0.6673835134
6	0.7117261291	0.6638944285
7	0.7130686045	0.6601499421
8	0.7134006917	0.6568484599
9	0.713992238	0.6536304762
10	0.7142876089	0.6506054688
11	0.7146857083	0.6475099525
12	0.7147788107	0.644635588
13	0.7148673832	0.6418993907
14	0.7149118781	0.6394216788
15	0.7154948413	0.6367627654
16	0.7156737447	0.6342580929
17	0.7155013084	0.6319409297
18	0.7158307433	0.629586059
19	0.7157187164	0.6275947593
20	0.7158310711	0.6254765532
21	0.7165206373	0.6233443294
22	0.7164868712	0.6214818985
23	0.7167574763	0.6196526895
24	0.7167522013	0.6179217909
25	0.7171911895	0.6163187799
26	0.7174569964	0.6146894157
27	0.7174343765	0.6132053678
28	0.7173370719	0.6117543081
29	0.7175919414	0.6102495608
30	0.7174575925	0.6089707312
31	0.7175043523	0.6075949462
32	0.7177004814	0.6063423763
33	0.7176691294	0.6051354572
34	0.7177526355	0.6038762055
35	0.7177856863	0.602648587
36	0.7178454995	0.601603852
37	0.7183501124	0.6005201013
38	0.7184972763	0.5994724693
39	0.7184236646	0.5985089433
40	0.7187289596	0.5977670361
41	0.7192620635	0.5967112272
42	0.7192012966	0.5959574518
43	0.7194699943	0.5950069154
44	0.7193542719	0.5943497215
45	0.7196603417	0.593474086
46	0.7195960283	0.5928459554
47	0.7196513414	0.5921514747
48	0.7198508978	0.5915050744
49	0.7203257084	0.590759803
50	0.7204150856	0.5900598086
51	0.720612973	0.5893566369
52	0.7207523286	0.5887303286
53	0.7208191752	0.5880652848
54	0.7210753262	0.5873959891
55	0.7212087512	0.5867981366
56	0.7212743759	0.5862516354
57	0.7213429213	0.5857961087
58	0.7214289904	0.5852490468
59	0.7216687799	0.5847319359
60	0.7219442725	0.5841356254
61	0.7220970988	0.5836598666
62	0.7222224474	0.5831581284
63	0.7221939862	0.5827451686
64	0.7225186825	0.5821620813
65	0.7226726413	0.5817465517
66	0.7229273915	0.5813584031
67	0.7229303122	0.5809537605
68	0.7230772376	0.5805208022
69	0.7232593298	0.5801320929
70	0.7233300805	0.5797127318
71	0.7233162522	0.5794972339
72	0.7233518958	0.5791474936
73	0.7233522534	0.5788024727
74	0.7233630419	0.5784683855
75	0.7233730555	0.5781795286
76	0.7233578563	0.5779225385
77	0.7236750722	0.5775470993
78	0.723916173	0.5772972581
79	0.7240622044	0.5770659203
80	0.7240656018	0.5768119206
81	0.7241327763	0.5764913838
82	0.7242720723	0.5761589788
83	0.7243388891	0.5758774578
84	0.7244811058	0.5756274765
85	0.7245338559	0.5754504336
86	0.7245351672	0.5752464302
87	0.7246232033	0.5749693014
88	0.7247136831	0.5747581489
89	0.7248911262	0.5744932155
90	0.7249688506	0.5742654288
91	0.7250822186	0.5740178304
92	0.7251960635	0.5737882214
93	0.7253397703	0.5735976282
94	0.7253901362	0.5733854011
95	0.7254247665	0.5732930715
96	0.7255969644	0.5730129523
97	0.7257069349	0.5727938565
98	0.7258922458	0.5725432211
99	0.7260693312	0.5723293586
100	0.7262100279	0.5720987216
101	0.7262547016	0.5719701798
102	0.7263517976	0.5717790726
103	0.7264357805	0.571612029
104	0.726461947	0.5714706377
105	0.7266888022	0.5712097226
106	0.7268514633	0.5709665165
107	0.7269098163	0.570834517
108	0.7269548178	0.5707006953
109	0.7271378636	0.5704949163
110	0.7272182107	0.5703323116
111	0.7273008823	0.5702230674
