iter	Passed	Remaining
0	581	4066759
1	1358	4752292
2	1805	4210716
3	2243	3923583
4	2614	3658154
5	2915	3398584
6	3189	3185963
7	3427	2995499
8	3625	2816401
9	3872	2706809
10	4092	2600238
11	4386	2554343
12	4609	2477514
13	4845	2418146
14	5084	2367449
15	5350	2335692
16	5510	2263639
17	5666	2198137
18	5909	2171379
19	6141	2143287
20	6411	2130674
21	6640	2106199
22	6867	2083386
23	7093	2061812
24	7341	2048217
25	7504	2012911
26	7744	2000044
27	7967	1983954
28	8206	1972745
29	8464	1966508
30	8680	1951326
31	8914	1941203
32	9006	1901491
33	9291	1903571
34	9492	1888938
35	9720	1880294
36	9950	1872572
37	10166	1862553
38	10449	1865082
39	10687	1859646
40	10923	1854095
41	11141	1845697
42	11373	1840094
43	11540	1824446
44	11781	1820888
45	12011	1815779
46	12242	1811091
47	12515	1812638
48	12740	1807270
49	12965	1802196
50	13185	1796526
51	13405	1791169
52	13610	1783999
53	13854	1782155
54	14086	1778796
55	14187	1759217
56	14573	1775109
57	14958	1790330
58	15180	1785895
59	15442	1786147
60	15758	1792614
61	15999	1790344
62	16209	1784897
63	16491	1787269
64	16709	1782767
65	16983	1784327
66	17231	1783059
67	17473	1781231
68	17688	1776787
69	17909	1773018
70	18129	1769324
71	18338	1764566
72	18612	1766112
73	18837	1763052
74	19057	1759596
75	19255	1754284
76	19461	1749767
77	19702	1748439
78	19942	1747119
79	20167	1744502
80	20416	1743987
81	20669	1743811
82	20904	1742153
83	21135	1740139
84	21315	1734039
85	21516	1729798
86	21761	1729173
87	21981	1726578
88	22209	1724623
89	22477	1725777
90	22708	1724108
91	22967	1724544
92	23210	1723819
93	23379	1717672
94	23702	1722816
95	23948	1722270
96	24324	1731044
97	24798	1746502
98	25195	1756280
99	25641	1769252
100	26085	1781788
101	26649	1802245
102	27097	1814470
103	27471	1821565
